learning rate,sgd step size,latent factors,implicit learning rate,random const,iterations,last RMSE,RMSE list,last MAE,MAE list
0.03,0.03,50,0.01,0.05,1,2.654840187542132,"[2.654840187542132, 2.6945117714269404]",1.9077885128973107,"[1.9077885128973107, 1.9425200373438603]"
0.03,0.03,100,0.01,0.05,1,2.6819080055192517,"[2.6819080055192517, 2.7015344657696594]",1.9289792187687387,"[1.9289792187687387, 1.9458248784894798]"
0.03,0.03,50,0.01,0.1,1,2.671258109538589,"[2.671258109538589, 2.6987219724246203]",1.9194079646023712,"[1.9194079646023712, 1.9475777748857777]"
0.03,0.03,100,0.01,0.1,2,2.695790295466786,"[2.70690768545297, 2.695790295466786, 2.71149359642259]",1.9423508844547777,"[1.9532761025148468, 1.9423508844547777, 1.9575572001529753]"
0.03,0.03,50,0.01,0.25,1,2.6969891930704133,"[2.6969891930704133, 2.702917362430366]",1.9449229993905064,"[1.9449229993905064, 1.9504559982896028]"
0.03,0.03,100,0.01,0.25,1,2.690314631214121,"[2.690314631214121, 2.7021628776932527]",1.938783295763362,"[1.938783295763362, 1.9498086878235426]"
0.03,0.03,50,0.01,0.5,1,2.692941486237938,"[2.692941486237938, 2.7040212807196244]",1.9381665462845217,"[1.9381665462845217, 1.948678372617969]"
0.03,0.03,100,0.01,0.5,1,2.691858046312181,"[2.691858046312181, 2.702459497248269]",1.9377654214698834,"[1.9377654214698834, 1.9477137001363984]"
0.03,0.03,50,0.025,0.05,1,1.9553695582198887,"[1.9553695582198887, 2.9441411455684325]",1.346949295036702,"[1.346949295036702, 2.216302441897898]"
0.03,0.03,100,0.025,0.05,1,2.624123736035308,"[2.624123736035308, 2.9472739718383365]",1.925519001989313,"[1.925519001989313, 2.218865553432977]"
0.03,0.03,50,0.025,0.1,1,2.7148156540594126,"[2.7148156540594126, 2.9603263867697542]",2.000853850745656,"[2.000853850745656, 2.234784953747913]"
0.03,0.03,100,0.025,0.1,1,2.7504235575918496,"[2.7504235575918496, 2.9688157003708198]",2.03779718196357,"[2.03779718196357, 2.2361492150603968]"
0.03,0.03,50,0.025,0.25,1,2.813742922765008,"[2.813742922765008, 2.9502000008432816]",2.0944822992034173,"[2.0944822992034173, 2.219929717808838]"
0.03,0.03,100,0.025,0.25,1,2.7768580532135605,"[2.7768580532135605, 2.966685216466096]",2.0546014467947593,"[2.0546014467947593, 2.2401382607463147]"
0.03,0.03,50,0.025,0.5,1,2.8336931870476265,"[2.8336931870476265, 2.9405653159531213]",2.1115642445239433,"[2.1115642445239433, 2.213781971540183]"
0.03,0.03,100,0.025,0.5,1,2.8433961656785156,"[2.8433961656785156, 2.917915431192313]",2.1199634218457493,"[2.1199634218457493, 2.186069267259775]"
0.03,0.03,50,0.05,0.05,4,1.885396440075994,"[1.905421466836337, 1.8915099561732407, 1.8873809682142013, 1.885396440075994, 1.8854072608577688]",1.2603319295804283,"[1.2979222365310465, 1.2769429125451595, 1.2666149173802295, 1.2603319295804283, 1.256424075791582]"
0.03,0.03,100,0.05,0.05,1,1.9432202598708401,"[1.9432202598708401, 2.871820100216568]",1.331394762679522,"[1.331394762679522, 2.150287143296419]"
0.03,0.03,50,0.05,0.1,1,2.184833144399129,"[2.184833144399129, 2.9543595684185644]",1.5472123090710397,"[1.5472123090710397, 2.2243653416383222]"
0.03,0.03,100,0.05,0.1,1,2.325825248682379,"[2.325825248682379, 2.929857495617701]",1.6727495474596754,"[1.6727495474596754, 2.2008469884817625]"
0.03,0.03,50,0.05,0.25,1,2.4686788068383403,"[2.4686788068383403, 2.9517551393084163]",1.7891622049077966,"[1.7891622049077966, 2.2221026158780455]"
0.03,0.03,100,0.05,0.25,1,2.6724161674860576,"[2.6724161674860576, 2.975655729289841]",1.9599761390798975,"[1.9599761390798975, 2.249457785284284]"
0.03,0.03,50,0.05,0.5,1,2.657001945579574,"[2.657001945579574, 2.9578901063497947]",1.9509689227203628,"[1.9509689227203628, 2.2300067724688093]"
0.03,0.03,100,0.05,0.5,1,2.6964700924665066,"[2.6964700924665066, 2.9673456918839762]",1.9826658193860638,"[1.9826658193860638, 2.236189071677851]"
