learning rate,sgd step size,latent factors,iterations,last RMSE,RMSE list,last MAE,MAE list
0.05,0.05,50,3,1.8890117237202615,"[1.9015361666523658, 1.8914529006809349, 1.8890117237202615, 1.8896154982865823]",1.2577382826597874,"[1.285100366777442, 1.2663049562474475, 1.2577382826597874, 1.253567993507125]"
0.05,0.05,100,3,1.8865314208908803,"[1.9007470934251622, 1.8900721625607624, 1.8865314208908803, 1.8867269648422478]",1.2590539464717592,"[1.2892006405505299, 1.2691414333605167, 1.2590539464717592, 1.254064544700354]"
0.05,0.04,50,4,1.8910229349719525,"[1.9068614340551042, 1.8958705295526967, 1.8922475967869308, 1.8910229349719525, 1.891848562323441]",1.2572378209713138,"[1.2913284675545564, 1.272532849895011, 1.263175396845528, 1.2572378209713138, 1.2540224014154469]"
0.05,0.04,100,4,1.882935723643222,"[1.901517065989485, 1.888864497665093, 1.8847006007908187, 1.882935723643222, 1.8833333503911087]",1.2537060174114014,"[1.2922797234703958, 1.2710406628890518, 1.260454744668924, 1.2537060174114014, 1.2501890309024948]"
0.05,0.03,50,5,1.8869562093751144,"[1.9098925079917086, 1.896322729661742, 1.8910122828556895, 1.8882017070436328, 1.8869562093751144, 1.8872748092734406]",1.252720990704827,"[1.2941181065432232, 1.2749027555762626, 1.264505461956513, 1.257296609412822, 1.252720990704827, 1.250033840259358]"
0.05,0.03,100,6,1.88225550340709,"[1.907330467442044, 1.892065140208319, 1.8866273242367748, 1.8832269744219896, 1.8822571722447754, 1.88225550340709, 1.88281161288208]",1.2526524375323171,"[1.302070508283285, 1.2795552444366973, 1.2683799338489863, 1.2605066543888137, 1.2560366375112784, 1.2526524375323171, 1.2502916478860269]"
0.04,0.05,50,3,1.8847614702552913,"[1.895985431960666, 1.8865806694835754, 1.8847614702552913, 1.885063437071936]",1.254666773927875,"[1.2812471727376205, 1.2629726863211141, 1.254666773927875, 1.2500712588620972]"
0.04,0.05,100,3,1.8911124831276511,"[1.9055162850088492, 1.8945271607045462, 1.8911124831276511, 1.8917530471717723]",1.2619465039297513,"[1.2924106491655418, 1.2718217391818882, 1.2619465039297513, 1.2575293115569424]"
0.04,0.04,50,4,1.8866140126922895,"[1.9028541645297472, 1.8913185847832104, 1.8873155606299277, 1.8866140126922895, 1.8874949596979491]",1.2530457942460451,"[1.2875380423837381, 1.2680631471829416, 1.2585440328332018, 1.2530457942460451, 1.2500639343204887]"
0.04,0.04,100,4,1.8877092815016445,"[1.9061857135453948, 1.893097084312832, 1.8896283796329, 1.8877092815016445, 1.8880549977254284]",1.2552138529524934,"[1.2934232977328026, 1.2718219391128494, 1.2619274821062203, 1.2552138529524934, 1.2515079258249449]"
0.04,0.03,50,5,1.883355594927982,"[1.9062310947012817, 1.8929828412998537, 1.8863678953139509, 1.8840145517414322, 1.883355594927982, 1.8838987353155496]",1.2510757034646394,"[1.2928301146377295, 1.2737319307220667, 1.2619394860401854, 1.2554072622249723, 1.2510757034646394, 1.2486736498959616]"
0.04,0.03,100,6,1.882690033467863,"[1.9077078515826529, 1.892759544326705, 1.886770160566796, 1.8842071204552013, 1.8830719527585287, 1.882690033467863, 1.8831707649009837]",1.2496459805431859,"[1.2982382874830907, 1.2764368448965033, 1.2648834196200418, 1.257967445519752, 1.2529292974568695, 1.2496459805431859, 1.2473112829588244]"
0.03,0.05,50,3,1.885484220097596,"[1.8951688004685694, 1.8863111103213213, 1.885484220097596, 1.8864200843366548]",1.2549439531449802,"[1.2804462770110292, 1.2627772699174655, 1.2549439531449802, 1.2512040112251135]"
0.03,0.05,100,3,1.8866842188462603,"[1.899426311242282, 1.8889924744644273, 1.8866842188462603, 1.8871448126888555]",1.2567209406416369,"[1.2856067090404049, 1.2659079978390833, 1.2567209406416369, 1.2516091398579374]"
0.03,0.04,50,4,1.8868434254345166,"[1.9036529457611262, 1.8919046148152567, 1.8875913724459892, 1.8868434254345166, 1.888509633384059]",1.2529322351848975,"[1.2874615259354225, 1.2681577490224367, 1.258259005968269, 1.2529322351848975, 1.2507174992069907]"
0.03,0.04,100,4,1.8808156418274264,"[1.8992458932856466, 1.8859934197857513, 1.8821258948389965, 1.8808156418274264, 1.8813196920846944]",1.2537496586876753,"[1.2917282643844221, 1.2702932924101358, 1.2599921152560165, 1.2537496586876753, 1.250358411370628]"
0.03,0.03,50,5,1.88081494263507,"[1.9031918279347066, 1.8888367886292972, 1.8838946850315832, 1.8813517466228393, 1.88081494263507, 1.8814016437821102]",1.2501172347368703,"[1.2920274379483376, 1.2718180881136214, 1.2614837393814862, 1.2546458390107484, 1.2501172347368703, 1.2479039095976976]"
0.03,0.03,100,5,1.882701837633024,"[1.9074405436875492, 1.8928625328168143, 1.8866814248773445, 1.8840853308650387, 1.882701837633024, 1.882842086897336]",1.254199065921045,"[1.300894833633784, 1.2787623886152841, 1.2669328765663102, 1.2595294997214865, 1.254199065921045, 1.2510201045618057]"
