learning rate,sgd step size,latent factors,iterations,last RMSE,RMSE list,last MAE,MAE list
0.05,0.05,20,29,3.935100431708496,"[11.685391710556237, 8.443853737604336, 6.86495440984255, 6.012458868997108, 5.438507241838502, 5.055654304298482, 4.792078126397722, 4.611723670623357, 4.476496076762662, 4.378409903469487, 4.296846802316568, 4.243616673896738, 4.183119596889601, 4.151262109634434, 4.117390520157963, 4.084768533412089, 4.064626092998038, 4.042915894094056, 4.023291876783761, 4.017345534912703, 4.002028754516937, 3.9847743988827955, 3.9781176929348314, 3.9727316589856714, 3.9558643792840633, 3.9548586130452685, 3.9449497686259867, 3.942912769476115, 3.935100431708496, 3.9357234889780193]",0.5516861261979211,"[1.1709747044461114, 1.0220486843669767, 0.9174255681125909, 0.8418558533202738, 0.7822690132308527, 0.7358459824383851, 0.7010624905245445, 0.6747118516267575, 0.6538889591668586, 0.6374034769782266, 0.6238091011887825, 0.6129906360043478, 0.6034092255561757, 0.5966682918253947, 0.5904118953780101, 0.5846857314591251, 0.579952360604937, 0.5756689168886675, 0.5719925679954918, 0.5690976749724354, 0.5663464214346353, 0.5635832810133886, 0.5614821596950292, 0.5598002696460641, 0.5573407131268004, 0.5561225951703387, 0.5543770338662037, 0.553289842554313, 0.5516861261979211, 0.5509914154295897]"
0.05,0.05,50,2,7.506971431675537,"[12.380508647430952, 7.506971431675537, 28.114530347974267]",0.9246220677357601,"[1.1613990871945574, 0.9246220677357601, 1.462241410986283]"
0.05,0.05,100,1,31.62228657731729,"[31.62228657731729, 78.3981211654389]",1.6082085232676064,"[1.6082085232676064, 2.243318505291664]"
0.05,0.03,20,54,3.9126076587816008,"[13.546618807528503, 10.444278335747603, 8.70175237341928, 7.594785796970528, 6.803593431570318, 6.230922886409023, 5.80739049394879, 5.463095233717662, 5.222781602548447, 5.019079170587871, 4.849427738016628, 4.720398067441553, 4.610749398599302, 4.52077368887791, 4.456328839157077, 4.38673182465126, 4.341059724423874, 4.2875993078546255, 4.249334302388775, 4.220443132483255, 4.1872872246369806, 4.166458024134606, 4.137318457625839, 4.118928722005574, 4.101484887971051, 4.084726402518528, 4.069425436318853, 4.057280919495834, 4.044116496304141, 4.035912553510863, 4.024999718124549, 4.015728592605735, 4.011169896988036, 3.9982610859489665, 3.996691572459959, 3.9856165095206717, 3.9806588113345476, 3.9743165524131387, 3.9682508460687504, 3.9625472268423874, 3.95731110970498, 3.9561050655691297, 3.950856702656846, 3.94715898406346, 3.9441647700209264, 3.9405957694258005, 3.9359639067815566, 3.9311872361311995, 3.9301076048571533, 3.9277511638810574, 3.9213550506546286, 3.9208633669785766, 3.9164385240723236, 3.9126076587816008, 3.914334316172174]",0.5512931258828622,"[1.242023653332714, 1.127224928608734, 1.0435620013785083, 0.9774883760037477, 0.9201661853034121, 0.8713382028418605, 0.8301547528109653, 0.7937422084758519, 0.7650144947432096, 0.7394363347299518, 0.7170230680541473, 0.6986531353225585, 0.6823476941068739, 0.6688939048566044, 0.6571526905964107, 0.6465692465869868, 0.6379768898644419, 0.6294822660669295, 0.6224634435014588, 0.6164145706648035, 0.6104256343844607, 0.6059347988774202, 0.6011765340920606, 0.5971634463669449, 0.59339924932309, 0.5901591172088012, 0.587125396754424, 0.584139684364823, 0.5815868719658249, 0.5795094284181911, 0.5771386623312855, 0.5751011443083397, 0.573619930608671, 0.5712701251993209, 0.5700963903623749, 0.5682886459011056, 0.567122101886377, 0.5656997269888102, 0.5642336615782501, 0.5628894262114663, 0.5618733345607231, 0.5609633833140852, 0.5598371773304079, 0.5590932489365025, 0.5582262582948907, 0.5571899034140985, 0.5563349080194353, 0.555574683749119, 0.5548141481762285, 0.5542479072909308, 0.5533958854403136, 0.5528279460268862, 0.551996991062785, 0.5512931258828622, 0.5510936226034714]"
0.05,0.05,20,29,3.935100431708496,"[11.685391710556237, 8.443853737604336, 6.86495440984255, 6.012458868997108, 5.438507241838502, 5.055654304298482, 4.792078126397722, 4.611723670623357, 4.476496076762662, 4.378409903469487, 4.296846802316568, 4.243616673896738, 4.183119596889601, 4.151262109634434, 4.117390520157963, 4.084768533412089, 4.064626092998038, 4.042915894094056, 4.023291876783761, 4.017345534912703, 4.002028754516937, 3.9847743988827955, 3.9781176929348314, 3.9727316589856714, 3.9558643792840633, 3.9548586130452685, 3.9449497686259867, 3.942912769476115, 3.935100431708496, 3.9357234889780193]",0.5516861261979211,"[1.1709747044461114, 1.0220486843669767, 0.9174255681125909, 0.8418558533202738, 0.7822690132308527, 0.7358459824383851, 0.7010624905245445, 0.6747118516267575, 0.6538889591668586, 0.6374034769782266, 0.6238091011887825, 0.6129906360043478, 0.6034092255561757, 0.5966682918253947, 0.5904118953780101, 0.5846857314591251, 0.579952360604937, 0.5756689168886675, 0.5719925679954918, 0.5690976749724354, 0.5663464214346353, 0.5635832810133886, 0.5614821596950292, 0.5598002696460641, 0.5573407131268004, 0.5561225951703387, 0.5543770338662037, 0.553289842554313, 0.5516861261979211, 0.5509914154295897]"
0.05,0.05,50,2,7.506971431675537,"[12.380508647430952, 7.506971431675537, 28.114530347974267]",0.9246220677357601,"[1.1613990871945574, 0.9246220677357601, 1.462241410986283]"
0.05,0.05,100,1,31.62228657731729,"[31.62228657731729, 78.3981211654389]",1.6082085232676064,"[1.6082085232676064, 2.243318505291664]"
0.05,0.03,50,29,3.689373443706753,"[13.899851544014256, 9.321751751411783, 6.978803979361714, 5.735956868104543, 5.057209848798525, 4.707976607989303, 4.442650110803375, 4.271653219279545, 4.161059253574387, 4.061594790557825, 3.9864039446609856, 3.9334244127180167, 3.8899091653419933, 3.86123661421424, 3.83188540676375, 3.807610305231101, 3.790271335657361, 3.778242813356668, 3.7636899941076454, 3.7467165776834515, 3.7385419117198118, 3.7271005674025726, 3.7223511810246324, 3.7207338775893097, 3.711456874332848, 3.7077244617333576, 3.701183013343644, 3.6935547161035815, 3.689373443706753, 3.692065159831966]",0.5176869334295905,"[1.236911730433589, 1.0505014348589237, 0.91711054347516, 0.8218508541956956, 0.751551975948561, 0.7046911045769524, 0.667029246037045, 0.6392048247405099, 0.6187116427452494, 0.6010526820448199, 0.5870822678134608, 0.576177556864709, 0.5667255590151437, 0.559219176371913, 0.552838642920245, 0.5474424544270962, 0.5430712707159249, 0.5393466980002748, 0.5359682955656375, 0.5326904415520318, 0.5304018067971221, 0.5278633718030142, 0.5262246880511647, 0.52455917980332, 0.5228637377687833, 0.5217204172322243, 0.5202088272418574, 0.5188216520633715, 0.5176869334295905, 0.5169629930131739]"
0.05,0.03,100,20,3.652896911533199,"[14.804560988150355, 8.668211153798865, 6.044675246916718, 4.872155979746809, 4.403489871679849, 4.162674585620113, 3.9935323466934145, 3.9272920360667496, 3.8385190750837137, 3.8254663488733667, 3.770063604501158, 3.7471456038014517, 3.719130437108257, 3.712458857350772, 3.6939217160235063, 3.688525390235907, 3.678358031063914, 3.666909100244438, 3.6611932094252433, 3.652896911533199, 3.654118273780853]",0.5074251253267442,"[1.2438804845734983, 0.982818234021639, 0.8126911367342183, 0.7084184903938731, 0.6477925906107325, 0.6099292008765997, 0.5837544295478099, 0.567951507855084, 0.5528139582624703, 0.5471062390724061, 0.5372245282232704, 0.531121156088411, 0.5260126794151823, 0.5221303320412669, 0.5178600485377175, 0.5153393805477768, 0.5127581791738872, 0.5108193631427167, 0.509207151980179, 0.5074251253267442, 0.5069540228435818]"
0.05,0.03,20,54,3.9126076587816008,"[13.546618807528503, 10.444278335747603, 8.70175237341928, 7.594785796970528, 6.803593431570318, 6.230922886409023, 5.80739049394879, 5.463095233717662, 5.222781602548447, 5.019079170587871, 4.849427738016628, 4.720398067441553, 4.610749398599302, 4.52077368887791, 4.456328839157077, 4.38673182465126, 4.341059724423874, 4.2875993078546255, 4.249334302388775, 4.220443132483255, 4.1872872246369806, 4.166458024134606, 4.137318457625839, 4.118928722005574, 4.101484887971051, 4.084726402518528, 4.069425436318853, 4.057280919495834, 4.044116496304141, 4.035912553510863, 4.024999718124549, 4.015728592605735, 4.011169896988036, 3.9982610859489665, 3.996691572459959, 3.9856165095206717, 3.9806588113345476, 3.9743165524131387, 3.9682508460687504, 3.9625472268423874, 3.95731110970498, 3.9561050655691297, 3.950856702656846, 3.94715898406346, 3.9441647700209264, 3.9405957694258005, 3.9359639067815566, 3.9311872361311995, 3.9301076048571533, 3.9277511638810574, 3.9213550506546286, 3.9208633669785766, 3.9164385240723236, 3.9126076587816008, 3.914334316172174]",0.5512931258828622,"[1.242023653332714, 1.127224928608734, 1.0435620013785083, 0.9774883760037477, 0.9201661853034121, 0.8713382028418605, 0.8301547528109653, 0.7937422084758519, 0.7650144947432096, 0.7394363347299518, 0.7170230680541473, 0.6986531353225585, 0.6823476941068739, 0.6688939048566044, 0.6571526905964107, 0.6465692465869868, 0.6379768898644419, 0.6294822660669295, 0.6224634435014588, 0.6164145706648035, 0.6104256343844607, 0.6059347988774202, 0.6011765340920606, 0.5971634463669449, 0.59339924932309, 0.5901591172088012, 0.587125396754424, 0.584139684364823, 0.5815868719658249, 0.5795094284181911, 0.5771386623312855, 0.5751011443083397, 0.573619930608671, 0.5712701251993209, 0.5700963903623749, 0.5682886459011056, 0.567122101886377, 0.5656997269888102, 0.5642336615782501, 0.5628894262114663, 0.5618733345607231, 0.5609633833140852, 0.5598371773304079, 0.5590932489365025, 0.5582262582948907, 0.5571899034140985, 0.5563349080194353, 0.555574683749119, 0.5548141481762285, 0.5542479072909308, 0.5533958854403136, 0.5528279460268862, 0.551996991062785, 0.5512931258828622, 0.5510936226034714]"
