learning rate,sgd step size,latent factors,iterations,last RMSE,RMSE list,last MAE,MAE list
0.075,0.075,20,2,2.675589062,"[2.697214240838102, 2.6755890622520386, 2.69547725204487]",2.675589062,"[2.697214240838102, 2.6755890622520386, 2.69547725204487]"
0.075,0.075,50,1,2.690280808,"[2.690280808011309, 2.6951348856619366]",2.690280808,"[2.690280808011309, 2.6951348856619366]"
0.075,0.075,100,2,2.687902054,"[2.713832997880118, 2.6879020538413325, 2.7041347612168405]",2.687902054,"[2.713832997880118, 2.6879020538413325, 2.7041347612168405]"
0.075,0.05,20,1,2.872384828,"[2.8723848276188866, 2.881334247173166]",2.872384828,"[2.8723848276188866, 2.881334247173166]"
0.075,0.05,50,1,2.853164425,"[2.8531644247212777, 2.8933948055873806]",2.853164425,"[2.8531644247212777, 2.8933948055873806]"
0.075,0.05,100,2,2.871258541,"[2.8874012762344132, 2.8712585407706235, 2.8924925373198196]",2.871258541,"[2.8874012762344132, 2.8712585407706235, 2.8924925373198196]"
0.075,0.025,20,1,1.915907891,"[1.9159078914956527, 2.8571821873726155]",1.915907891,"[1.9159078914956527, 2.8571821873726155]"
0.075,0.025,50,1,1.896383112,"[1.8963831120065218, 2.812391609343106]",1.896383112,"[1.8963831120065218, 2.812391609343106]"
0.075,0.025,100,48,1.384229428,"[1.861943133357709, 1.828528498917395, 1.8064006047462273, 1.7901163255780201, 1.7750297516468163, 1.7593911913239935, 1.740736737959192, 1.7164617454474027, 1.6876661453265323, 1.654838273453901, 1.6205727458372015, 1.5875079921790465, 1.5576111607695493, 1.53090648957806, 1.5080822272069079, 1.4885465589974067, 1.4720644442526083, 1.45801613311153, 1.4464038474043324, 1.4370849280123412, 1.4289529561443792, 1.4221669651097606, 1.416479887064238, 1.4118438435954082, 1.4078874448661627, 1.4045252350187158, 1.4017672500189113, 1.3993638222162177, 1.3972899606317999, 1.3955566784177589, 1.3939328503951711, 1.3927631260565692, 1.3916313779726892, 1.3906456399214064, 1.3896598500028405, 1.3891204780191166, 1.3882708430083297, 1.3876460404655893, 1.3870999285571517, 1.3868190856706184, 1.3862583706497913, 1.3860142470358707, 1.3857205365648144, 1.3853241562107756, 1.3848985531312539, 1.3847522299376915, 1.3845430773460854, 1.3842294283726384, 1.3842744857145914]",1.384229428,"[1.861943133357709, 1.828528498917395, 1.8064006047462273, 1.7901163255780201, 1.7750297516468163, 1.7593911913239935, 1.740736737959192, 1.7164617454474027, 1.6876661453265323, 1.654838273453901, 1.6205727458372015, 1.5875079921790465, 1.5576111607695493, 1.53090648957806, 1.5080822272069079, 1.4885465589974067, 1.4720644442526083, 1.45801613311153, 1.4464038474043324, 1.4370849280123412, 1.4289529561443792, 1.4221669651097606, 1.416479887064238, 1.4118438435954082, 1.4078874448661627, 1.4045252350187158, 1.4017672500189113, 1.3993638222162177, 1.3972899606317999, 1.3955566784177589, 1.3939328503951711, 1.3927631260565692, 1.3916313779726892, 1.3906456399214064, 1.3896598500028405, 1.3891204780191166, 1.3882708430083297, 1.3876460404655893, 1.3870999285571517, 1.3868190856706184, 1.3862583706497913, 1.3860142470358707, 1.3857205365648144, 1.3853241562107756, 1.3848985531312539, 1.3847522299376915, 1.3845430773460854, 1.3842294283726384, 1.3842744857145914]"
0.075,0.01,20,99,1.411618523,"[1.8917327539362434, 1.8621560408291582, 1.8430124835157549, 1.8289886581274093, 1.816927281455385, 1.8071555411575149, 1.7985153725266925, 1.7900108876624476, 1.7822644508244503, 1.7742892074300964, 1.7666670733978969, 1.7584800633225641, 1.7499229533926237, 1.741511291194049, 1.7317091610186965, 1.7223198321317534, 1.711791728895816, 1.7010532077730436, 1.6898978881224682, 1.678923281736372, 1.6674578700960259, 1.6560657565232921, 1.644955465937781, 1.6339300409903845, 1.6227834014807598, 1.6121911078560924, 1.6023947760412631, 1.592306620110931, 1.5826507920730366, 1.5736558370449847, 1.564830003888475, 1.5566528008607825, 1.5487344798968283, 1.541257587066559, 1.5342598111461472, 1.5273631678678083, 1.5209629570482255, 1.5151244474575156, 1.5091724308810244, 1.5039252509805385, 1.4987319535889099, 1.4940759230998404, 1.4895568299907265, 1.4850765522725395, 1.4812504613784374, 1.4772059884988578, 1.473933714471683, 1.4703044610300555, 1.4670389209377594, 1.4640583138889423, 1.4610991195143113, 1.458422047770722, 1.4559674804969123, 1.4535037437418163, 1.451102573279651, 1.4490194408217398, 1.4466791687746776, 1.4450014522594343, 1.443112621998902, 1.4414839495129197, 1.4399839029773154, 1.4381921822495396, 1.4367496842394727, 1.4352920071418178, 1.4340365192124926, 1.432660091308055, 1.4315585777504571, 1.4304255149828693, 1.4293484152199307, 1.4282436258841473, 1.4273503060458304, 1.4264821912916401, 1.425338470315982, 1.4243172284966543, 1.4237619169309579, 1.4230620302074255, 1.422132326500844, 1.4215552139588825, 1.420934676293167, 1.4201918871694132, 1.4195462543328519, 1.41891527663721, 1.4182926112386007, 1.4177273884339952, 1.4172414280077155, 1.4166257759666736, 1.4161553638514384, 1.4158076062923828, 1.415259506061846, 1.4150264345944104, 1.4144840050047864, 1.4141296119550046, 1.4137401740531725, 1.4133160168232228, 1.4128437266169678, 1.4125824609799302, 1.4123313149667003, 1.4121149714461831, 1.4116185229538056, 1.4112627274964762]",1.411618523,"[1.8917327539362434, 1.8621560408291582, 1.8430124835157549, 1.8289886581274093, 1.816927281455385, 1.8071555411575149, 1.7985153725266925, 1.7900108876624476, 1.7822644508244503, 1.7742892074300964, 1.7666670733978969, 1.7584800633225641, 1.7499229533926237, 1.741511291194049, 1.7317091610186965, 1.7223198321317534, 1.711791728895816, 1.7010532077730436, 1.6898978881224682, 1.678923281736372, 1.6674578700960259, 1.6560657565232921, 1.644955465937781, 1.6339300409903845, 1.6227834014807598, 1.6121911078560924, 1.6023947760412631, 1.592306620110931, 1.5826507920730366, 1.5736558370449847, 1.564830003888475, 1.5566528008607825, 1.5487344798968283, 1.541257587066559, 1.5342598111461472, 1.5273631678678083, 1.5209629570482255, 1.5151244474575156, 1.5091724308810244, 1.5039252509805385, 1.4987319535889099, 1.4940759230998404, 1.4895568299907265, 1.4850765522725395, 1.4812504613784374, 1.4772059884988578, 1.473933714471683, 1.4703044610300555, 1.4670389209377594, 1.4640583138889423, 1.4610991195143113, 1.458422047770722, 1.4559674804969123, 1.4535037437418163, 1.451102573279651, 1.4490194408217398, 1.4466791687746776, 1.4450014522594343, 1.443112621998902, 1.4414839495129197, 1.4399839029773154, 1.4381921822495396, 1.4367496842394727, 1.4352920071418178, 1.4340365192124926, 1.432660091308055, 1.4315585777504571, 1.4304255149828693, 1.4293484152199307, 1.4282436258841473, 1.4273503060458304, 1.4264821912916401, 1.425338470315982, 1.4243172284966543, 1.4237619169309579, 1.4230620302074255, 1.422132326500844, 1.4215552139588825, 1.420934676293167, 1.4201918871694132, 1.4195462543328519, 1.41891527663721, 1.4182926112386007, 1.4177273884339952, 1.4172414280077155, 1.4166257759666736, 1.4161553638514384, 1.4158076062923828, 1.415259506061846, 1.4150264345944104, 1.4144840050047864, 1.4141296119550046, 1.4137401740531725, 1.4133160168232228, 1.4128437266169678, 1.4125824609799302, 1.4123313149667003, 1.4121149714461831, 1.4116185229538056, 1.4112627274964762]"
